Age,Gender,MaritalStatus,DistanceFromHome,Attrition,BusinessTravel,Department,JobRole,JobLevel,Education,EducationField,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,JobInvolvement,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,OverTime,Distance_Group,Age_Group,Hike_Group,JobSat_Label,Stock_Label,IncomeBand
29,Female,Single,15,No,Travel_Rarely,Research & Development,Laboratory Technician,2,2,Life Sciences,4193,12,0,10,0,9,5,0,8,3,4,3,2,3,4,3,Yes,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),High,None,Medium
31,Male,Divorced,26,No,Travel_Rarely,Research & Development,Research Scientist,1,1,Life Sciences,2911,17,1,5,1,5,2,4,3,1,1,3,3,3,4,2,No,Far (16+ km),Mid Career (29-40),High (15-18%),High,Low,Low
34,Male,Divorced,19,No,Travel_Rarely,Research & Development,Laboratory Technician,1,2,Medical,2661,11,1,3,0,2,2,1,2,2,2,4,3,3,3,3,No,Far (16+ km),Mid Career (29-40),Standard (11-14%),Very High,Low,Low
28,Male,Single,24,Yes,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Life Sciences,2028,14,0,6,5,4,2,0,3,4,3,3,2,3,2,3,Yes,Far (16+ km),Early Career (18-28),Standard (11-14%),High,None,Low
29,Female,Divorced,21,No,Travel_Rarely,Research & Development,Manufacturing Director,3,4,Life Sciences,9980,11,1,10,1,10,9,8,8,1,2,1,4,3,3,3,No,Far (16+ km),Mid Career (29-40),Standard (11-14%),Low,Low,High
32,Male,Divorced,5,No,Travel_Rarely,Research & Development,Research Scientist,1,2,Life Sciences,3298,12,2,7,0,6,2,0,5,5,1,2,4,3,4,2,Yes,Close (0-5km),Mid Career (29-40),Standard (11-14%),Medium,Medium,Low
22,Male,Divorced,16,No,Non-Travel,Research & Development,Laboratory Technician,1,2,Medical,2935,13,2,1,1,1,0,0,0,2,4,4,4,3,2,2,Yes,Far (16+ km),Early Career (18-28),Standard (11-14%),Very High,Medium,Low
53,Female,Married,2,No,Travel_Rarely,Sales,Manager,4,4,Life Sciences,15427,16,0,31,2,25,8,3,7,3,1,4,2,3,3,3,No,Close (0-5km),Experienced (41+),High (15-18%),Very High,None,High
38,Male,Single,2,No,Travel_Rarely,Research & Development,Research Scientist,1,3,Life Sciences,3944,11,0,6,5,3,2,1,2,3,4,4,3,3,3,3,Yes,Close (0-5km),Mid Career (29-40),Standard (11-14%),Very High,None,Medium
24,Female,Divorced,11,No,Non-Travel,Research & Development,Manufacturing Director,2,2,Other,4011,18,1,5,0,4,2,1,3,5,1,3,4,3,4,2,No,Moderate (6-15km),Early Career (18-28),High (15-18%),High,Low,Medium
36,Male,Single,9,Yes,Travel_Rarely,Sales,Sales Representative,1,4,Life Sciences,3407,23,0,10,7,5,3,0,3,4,3,1,2,4,2,3,No,Moderate (6-15km),Mid Career (29-40),Top Tier (19-25%),Low,None,Low
34,Female,Single,7,No,Travel_Rarely,Research & Development,Research Director,3,4,Life Sciences,11994,11,0,13,0,12,6,2,11,4,1,2,3,3,3,3,No,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),Medium,None,High
21,Male,Single,15,No,Travel_Rarely,Research & Development,Research Scientist,1,2,Life Sciences,1232,14,0,0,1,0,0,0,0,6,3,4,3,3,4,3,No,Moderate (6-15km),Early Career (18-28),Standard (11-14%),Very High,None,Low
34,Male,Single,6,Yes,Travel_Rarely,Research & Development,Research Scientist,1,1,Medical,2960,11,0,8,2,4,2,1,3,2,2,1,3,3,3,3,No,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),Low,None,Low
53,Female,Divorced,5,No,Travel_Rarely,Research & Development,Manager,5,3,Other,19094,11,1,26,4,14,13,4,8,3,3,3,3,3,4,2,No,Close (0-5km),Experienced (41+),Standard (11-14%),High,Low,High
32,Female,Single,16,Yes,Travel_Frequently,Research & Development,Research Scientist,1,1,Life Sciences,3919,22,0,10,1,10,2,6,7,5,2,1,1,4,2,3,Yes,Far (16+ km),Mid Career (29-40),Top Tier (19-25%),Low,None,Medium
42,Male,Married,8,No,Travel_Rarely,Sales,Sales Executive,2,4,Marketing,6825,11,1,10,0,9,7,4,2,2,3,2,3,3,4,3,No,Moderate (6-15km),Experienced (41+),Standard (11-14%),Medium,Low,High
44,Female,Married,7,No,Travel_Rarely,Research & Development,Healthcare Representative,3,4,Medical,10248,14,1,24,3,22,6,5,17,4,1,4,2,3,4,3,No,Moderate (6-15km),Experienced (41+),Standard (11-14%),Very High,Low,High
46,Female,Single,2,No,Travel_Rarely,Sales,Manager,5,4,Marketing,18947,12,0,22,3,2,2,2,1,2,2,1,3,3,4,2,No,Close (0-5km),Experienced (41+),Standard (11-14%),Low,None,High
33,Male,Single,2,No,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Medical,2496,11,0,7,4,1,1,0,0,3,3,4,3,3,4,3,No,Close (0-5km),Mid Career (29-40),Standard (11-14%),Very High,None,Low
44,Male,Married,10,No,Travel_Rarely,Research & Development,Healthcare Representative,2,4,Other,6465,13,0,9,2,4,2,1,3,5,4,4,3,3,4,4,Yes,Moderate (6-15km),Experienced (41+),Standard (11-14%),Very High,None,Medium
30,Male,Single,9,No,Travel_Rarely,Research & Development,Laboratory Technician,1,2,Medical,2206,13,0,10,1,10,0,1,8,5,4,3,2,3,1,3,No,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),High,None,Low
39,Male,Married,5,Yes,Travel_Rarely,Sales,Sales Representative,2,3,Technical Degree,2086,14,1,19,3,1,0,0,0,6,4,4,3,3,3,4,No,Close (0-5km),Mid Career (29-40),Standard (11-14%),Very High,Low,Low
24,Male,Married,1,Yes,Travel_Rarely,Research & Development,Research Scientist,1,3,Medical,2293,16,1,6,2,2,0,2,0,2,2,4,3,3,1,2,Yes,Close (0-5km),Early Career (18-28),High (15-18%),Very High,Low,Low
43,Female,Divorced,2,No,Travel_Rarely,Research & Development,Research Scientist,1,2,Medical,2645,12,2,6,1,5,3,1,4,3,4,3,4,3,4,2,No,Close (0-5km),Experienced (41+),Standard (11-14%),High,Medium,Low
50,Male,Married,3,Yes,Travel_Rarely,Sales,Sales Representative,1,2,Marketing,2683,14,0,3,1,3,2,0,2,2,1,3,2,3,3,3,Yes,Close (0-5km),Experienced (41+),Standard (11-14%),High,None,Low
35,Female,Married,2,No,Travel_Rarely,Sales,Sales Representative,1,3,Marketing,2014,13,0,2,1,2,2,2,2,3,4,4,3,3,1,3,No,Close (0-5km),Mid Career (29-40),Standard (11-14%),Very High,None,Low
36,Female,Married,5,No,Travel_Rarely,Research & Development,Research Scientist,1,4,Life Sciences,3419,14,1,6,9,1,1,0,0,3,2,1,2,3,4,4,Yes,Close (0-5km),Mid Career (29-40),Standard (11-14%),Low,Low,Low
33,Female,Married,1,No,Travel_Frequently,Sales,Sales Executive,2,3,Life Sciences,5376,19,2,10,2,5,3,1,3,3,3,1,4,3,1,3,No,Close (0-5km),Mid Career (29-40),Top Tier (19-25%),Low,Medium,Medium
35,Male,Divorced,4,No,Travel_Rarely,Research & Development,Laboratory Technician,1,2,Other,1951,12,1,1,1,1,0,0,0,3,3,4,3,3,3,3,No,Close (0-5km),Mid Career (29-40),Standard (11-14%),Very High,Low,Low
27,Female,Divorced,2,No,Travel_Rarely,Research & Development,Laboratory Technician,1,4,Life Sciences,2341,13,1,1,1,1,0,0,0,6,4,1,3,3,4,3,No,Close (0-5km),Early Career (18-28),Standard (11-14%),Low,Low,Low
26,Male,Single,25,Yes,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Life Sciences,2293,12,0,1,1,1,0,0,1,2,1,3,1,3,3,2,No,Far (16+ km),Early Career (18-28),Standard (11-14%),High,None,Low
27,Male,Single,8,No,Travel_Frequently,Sales,Sales Executive,3,3,Life Sciences,8726,15,0,9,1,9,8,1,7,0,4,3,3,3,4,3,No,Moderate (6-15km),Early Career (18-28),High (15-18%),High,None,High
30,Female,Single,1,No,Travel_Frequently,Research & Development,Laboratory Technician,2,2,Medical,4011,23,0,12,1,12,8,3,7,2,3,4,3,4,4,3,No,Close (0-5km),Mid Career (29-40),Top Tier (19-25%),Very High,None,Medium
41,Female,Married,12,Yes,Travel_Rarely,Research & Development,Research Director,5,3,Technical Degree,19545,12,0,23,1,22,15,15,8,0,2,3,3,3,4,3,No,Moderate (6-15km),Experienced (41+),Standard (11-14%),High,None,High
34,Male,Single,23,No,Non-Travel,Sales,Sales Executive,2,4,Marketing,4568,20,0,10,0,9,5,8,7,2,2,3,3,4,3,3,No,Far (16+ km),Mid Career (29-40),Top Tier (19-25%),High,None,Medium
37,Male,Married,19,No,Travel_Rarely,Research & Development,Research Scientist,1,2,Life Sciences,3022,21,0,8,4,1,0,0,0,1,2,2,3,4,1,3,No,Far (16+ km),Mid Career (29-40),Top Tier (19-25%),Medium,None,Low
46,Male,Single,5,No,Travel_Frequently,Sales,Sales Executive,2,4,Marketing,5772,21,0,14,4,9,6,0,8,4,1,4,3,4,3,3,Yes,Close (0-5km),Experienced (41+),Top Tier (19-25%),Very High,None,Medium
35,Male,Married,8,No,Travel_Rarely,Research & Development,Laboratory Technician,1,1,Life Sciences,2269,19,0,1,1,1,0,0,1,2,4,4,4,3,4,3,No,Moderate (6-15km),Mid Career (29-40),Top Tier (19-25%),Very High,None,Low
48,Male,Single,1,Yes,Travel_Rarely,Research & Development,Laboratory Technician,3,2,Life Sciences,5381,13,0,23,9,1,0,0,0,2,1,3,2,3,4,3,Yes,Close (0-5km),Experienced (41+),Standard (11-14%),High,None,Medium
28,Male,Single,5,Yes,Travel_Rarely,Research & Development,Laboratory Technician,1,4,Technical Degree,3441,13,0,2,1,2,2,2,2,3,3,3,3,3,3,2,Yes,Close (0-5km),Early Career (18-28),Standard (11-14%),High,None,Low
44,Female,Divorced,1,No,Travel_Rarely,Sales,Sales Executive,2,5,Marketing,5454,21,1,9,5,4,3,1,3,2,2,1,3,4,3,2,Yes,Close (0-5km),Experienced (41+),Top Tier (19-25%),Low,Low,Medium
35,Male,Married,11,No,Non-Travel,Research & Development,Healthcare Representative,3,2,Medical,9884,13,1,10,2,4,0,2,3,3,3,1,2,3,3,3,Yes,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),Low,Low,High
26,Female,Married,23,No,Travel_Rarely,Sales,Sales Executive,2,3,Marketing,4157,19,1,5,7,2,2,0,0,2,3,4,2,3,3,2,Yes,Far (16+ km),Early Career (18-28),Top Tier (19-25%),Very High,Low,Medium
33,Female,Single,1,No,Travel_Frequently,Research & Development,Research Director,3,2,Life Sciences,13458,12,0,15,1,15,14,8,12,1,1,4,3,3,3,3,Yes,Close (0-5km),Mid Career (29-40),Standard (11-14%),Very High,None,High
35,Male,Married,18,No,Travel_Frequently,Sales,Sales Executive,3,5,Life Sciences,9069,22,1,9,1,9,8,1,8,3,2,1,3,4,4,2,No,Far (16+ km),Mid Career (29-40),Top Tier (19-25%),Low,Low,High
35,Female,Married,23,No,Travel_Rarely,Research & Development,Laboratory Technician,1,4,Medical,4014,15,1,4,3,2,2,2,2,3,3,1,3,3,3,3,Yes,Far (16+ km),Mid Career (29-40),High (15-18%),Low,Low,Medium
31,Male,Divorced,7,No,Travel_Rarely,Research & Development,Laboratory Technician,2,4,Life Sciences,5915,22,1,10,3,7,7,1,7,3,4,4,3,4,4,2,No,Moderate (6-15km),Mid Career (29-40),Top Tier (19-25%),Very High,Low,Medium
37,Male,Divorced,1,No,Travel_Rarely,Research & Development,Manufacturing Director,2,4,Life Sciences,5993,18,1,7,1,7,5,0,7,2,1,3,2,3,3,4,No,Close (0-5km),Mid Career (29-40),High (15-18%),High,Low,Medium
32,Male,Married,1,No,Travel_Rarely,Research & Development,Manufacturing Director,2,3,Medical,6162,22,1,9,1,9,8,7,8,3,1,4,3,4,2,3,Yes,Close (0-5km),Mid Career (29-40),Top Tier (19-25%),Very High,Low,Medium
38,Female,Single,29,No,Travel_Frequently,Research & Development,Laboratory Technician,2,5,Life Sciences,2406,11,0,10,1,10,3,9,9,2,4,4,3,3,4,3,No,Far (16+ km),Mid Career (29-40),Standard (11-14%),Very High,None,Low
50,Female,Divorced,7,No,Travel_Rarely,Research & Development,Research Director,5,2,Medical,18740,12,1,29,5,27,3,13,8,2,2,3,2,3,4,2,Yes,Moderate (6-15km),Experienced (41+),Standard (11-14%),High,Low,High
59,Female,Single,25,No,Travel_Rarely,Sales,Sales Executive,3,3,Life Sciences,7637,11,0,28,7,21,16,7,9,3,1,1,3,3,4,2,No,Far (16+ km),Experienced (41+),Standard (11-14%),Low,None,High
36,Female,Divorced,8,No,Travel_Rarely,Research & Development,Healthcare Representative,3,3,Technical Degree,10096,13,3,17,1,17,14,12,8,2,3,3,3,3,2,3,No,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),High,High,High
55,Female,Divorced,8,No,Travel_Rarely,Research & Development,Manager,4,3,Medical,14756,14,3,21,2,5,0,0,2,2,4,3,3,3,3,3,Yes,Moderate (6-15km),Experienced (41+),Standard (11-14%),High,High,High
36,Male,Single,11,No,Travel_Frequently,Research & Development,Manufacturing Director,2,3,Life Sciences,6499,13,0,6,1,6,5,0,3,3,2,2,2,3,3,3,No,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),Medium,None,Medium
45,Male,Divorced,7,No,Travel_Rarely,Research & Development,Research Scientist,3,3,Life Sciences,9724,17,1,25,2,1,0,0,0,2,2,1,3,3,3,3,No,Moderate (6-15km),Experienced (41+),High (15-18%),Low,Low,High
35,Male,Married,1,No,Travel_Frequently,Research & Development,Research Scientist,1,3,Medical,2194,13,1,5,4,3,2,1,2,2,2,1,3,3,4,2,No,Close (0-5km),Mid Career (29-40),Standard (11-14%),Low,Low,Low
36,Male,Married,9,Yes,Travel_Rarely,Research & Development,Research Scientist,1,3,Medical,3388,17,1,2,0,1,0,0,0,0,4,3,2,3,1,2,Yes,Moderate (6-15km),Mid Career (29-40),High (15-18%),High,Low,Low
59,Female,Single,1,No,Travel_Frequently,Sales,Sales Executive,2,1,Life Sciences,5473,11,0,20,7,4,3,1,3,2,1,3,2,3,4,2,No,Close (0-5km),Experienced (41+),Standard (11-14%),High,None,Medium
29,Male,Married,2,No,Travel_Rarely,Research & Development,Research Scientist,1,3,Life Sciences,2703,23,1,6,0,5,4,0,4,3,3,2,3,4,4,3,No,Close (0-5km),Mid Career (29-40),Top Tier (19-25%),Medium,Low,Low
31,Male,Single,1,No,Travel_Rarely,Research & Development,Research Scientist,1,4,Medical,2501,17,0,1,1,1,1,1,0,4,3,2,3,3,2,3,No,Close (0-5km),Mid Career (29-40),High (15-18%),Medium,None,Low
32,Male,Married,1,No,Travel_Rarely,Research & Development,Research Scientist,2,3,Life Sciences,6220,17,2,10,1,10,4,0,9,3,2,2,3,3,2,3,No,Close (0-5km),Mid Career (29-40),High (15-18%),Medium,Medium,Medium
36,Female,Married,6,No,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Life Sciences,3038,12,0,5,3,1,0,0,0,3,2,4,4,3,2,3,No,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),Very High,None,Low
31,Female,Single,8,No,Travel_Rarely,Research & Development,Manufacturing Director,2,4,Life Sciences,4424,23,0,11,1,11,7,1,8,2,3,4,3,4,4,3,No,Moderate (6-15km),Mid Career (29-40),Top Tier (19-25%),Very High,None,Medium
35,Male,Single,1,No,Travel_Rarely,Sales,Sales Executive,2,4,Marketing,4312,14,0,16,0,15,13,2,8,2,3,1,2,3,2,3,No,Close (0-5km),Mid Career (29-40),Standard (11-14%),Low,None,Medium
45,Male,Married,6,No,Travel_Rarely,Research & Development,Research Director,3,4,Other,13245,14,0,17,4,0,0,0,0,3,4,1,3,3,2,4,Yes,Moderate (6-15km),Experienced (41+),Standard (11-14%),Low,None,High
37,Male,Single,7,No,Travel_Rarely,Research & Development,Research Director,3,4,Medical,13664,13,0,16,4,5,2,0,2,3,1,3,3,3,1,4,No,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),High,None,High
46,Male,Divorced,5,No,Travel_Rarely,Human Resources,Human Resources,2,2,Medical,5021,22,1,16,8,4,2,0,2,2,2,2,3,4,4,3,Yes,Close (0-5km),Experienced (41+),Top Tier (19-25%),Medium,Low,Medium
30,Male,Married,1,No,Travel_Rarely,Research & Development,Laboratory Technician,2,1,Life Sciences,5126,12,2,10,1,10,8,3,0,1,4,4,2,3,3,2,Yes,Close (0-5km),Mid Career (29-40),Standard (11-14%),Very High,Medium,Medium
35,Male,Single,1,No,Travel_Rarely,Research & Development,Research Scientist,1,3,Medical,2859,18,0,6,1,6,4,0,4,3,2,3,2,3,1,3,No,Close (0-5km),Mid Career (29-40),High (15-18%),High,None,Low
55,Male,Married,1,No,Travel_Rarely,Sales,Sales Executive,3,2,Life Sciences,10239,14,1,24,3,1,0,1,0,4,1,4,3,3,4,3,No,Close (0-5km),Experienced (41+),Standard (11-14%),Very High,Low,High
38,Female,Divorced,6,No,Non-Travel,Research & Development,Research Scientist,2,3,Medical,5329,12,3,17,7,13,11,1,9,3,2,4,1,3,4,3,Yes,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),Very High,High,Medium
34,Male,Married,1,No,Travel_Rarely,Research & Development,Manufacturing Director,2,2,Medical,4325,15,0,5,1,5,2,1,3,2,1,2,3,3,3,3,No,Close (0-5km),Mid Career (29-40),High (15-18%),Medium,None,Medium
56,Male,Single,7,No,Travel_Rarely,Research & Development,Manufacturing Director,3,3,Life Sciences,7260,11,0,37,4,6,4,0,2,3,4,4,1,3,1,2,No,Moderate (6-15km),Experienced (41+),Standard (11-14%),Very High,None,High
23,Male,Divorced,2,No,Travel_Rarely,Sales,Sales Representative,1,1,Technical Degree,2322,13,1,3,3,0,0,0,0,3,3,1,3,3,3,3,No,Close (0-5km),Early Career (18-28),Standard (11-14%),Low,Low,Low
51,Male,Married,9,No,Travel_Rarely,Research & Development,Laboratory Technician,1,4,Life Sciences,2075,23,2,10,3,4,2,0,3,4,4,4,3,4,2,3,No,Moderate (6-15km),Experienced (41+),Top Tier (19-25%),Very High,Medium,Low
30,Male,Married,2,No,Travel_Rarely,Research & Development,Healthcare Representative,2,3,Life Sciences,4152,19,3,11,1,11,10,10,8,3,3,4,2,3,1,3,No,Close (0-5km),Mid Career (29-40),Top Tier (19-25%),Very High,High,Medium
46,Male,Single,9,Yes,Travel_Rarely,Sales,Sales Executive,3,2,Medical,9619,16,0,9,1,9,8,4,7,3,3,4,2,3,4,3,No,Moderate (6-15km),Experienced (41+),High (15-18%),Very High,None,High
40,Male,Married,1,No,Travel_Frequently,Research & Development,Healthcare Representative,4,4,Life Sciences,13503,22,1,22,1,22,3,11,11,3,3,2,2,4,4,2,No,Close (0-5km),Mid Career (29-40),Top Tier (19-25%),Medium,Low,High
51,Male,Single,21,No,Travel_Rarely,Sales,Sales Executive,2,4,Marketing,5441,22,0,11,0,10,7,1,0,2,3,4,3,4,4,1,Yes,Far (16+ km),Experienced (41+),Top Tier (19-25%),Very High,None,Medium
30,Female,Divorced,4,No,Travel_Rarely,Sales,Sales Executive,2,2,Medical,5209,12,3,11,1,11,8,2,7,4,3,2,2,3,2,2,Yes,Close (0-5km),Mid Career (29-40),Standard (11-14%),Medium,High,Medium
46,Male,Married,1,No,Travel_Frequently,Research & Development,Healthcare Representative,3,3,Medical,10673,13,1,21,2,10,9,9,5,5,3,1,2,3,3,2,Yes,Close (0-5km),Experienced (41+),Standard (11-14%),Low,Low,High
32,Male,Single,6,No,Travel_Rarely,Sales,Sales Executive,2,4,Medical,5010,16,0,12,1,11,8,5,7,0,2,3,3,3,1,3,No,Moderate (6-15km),Mid Career (29-40),High (15-18%),High,None,Medium
54,Female,Married,2,No,Travel_Rarely,Research & Development,Research Director,3,4,Technical Degree,13549,12,1,16,9,4,3,0,3,5,1,3,3,3,1,1,No,Close (0-5km),Experienced (41+),Standard (11-14%),High,Low,High
24,Female,Married,3,No,Travel_Rarely,Sales,Sales Executive,2,2,Other,4999,21,1,4,0,3,2,0,2,2,1,3,3,4,1,2,No,Close (0-5km),Early Career (18-28),Top Tier (19-25%),High,Low,Medium
28,Male,Married,4,No,Non-Travel,Sales,Sales Executive,2,3,Medical,4221,15,0,5,1,5,4,0,4,3,2,3,3,3,2,4,No,Close (0-5km),Early Career (18-28),High (15-18%),High,None,Medium
58,Male,Single,10,No,Travel_Rarely,Sales,Sales Executive,4,4,Medical,13872,13,0,38,0,37,10,1,8,1,4,3,3,3,3,2,No,Moderate (6-15km),Experienced (41+),Standard (11-14%),High,None,High
44,Male,Married,23,No,Non-Travel,Research & Development,Laboratory Technician,2,3,Medical,2042,12,1,17,4,3,2,1,2,3,2,2,3,3,3,4,No,Far (16+ km),Experienced (41+),Standard (11-14%),Medium,Low,Low
37,Male,Divorced,6,Yes,Travel_Rarely,Human Resources,Human Resources,1,4,Human Resources,2073,22,0,7,4,3,2,0,2,3,3,1,3,4,4,3,Yes,Moderate (6-15km),Mid Career (29-40),Top Tier (19-25%),Low,None,Low
32,Male,Single,1,No,Travel_Rarely,Research & Development,Research Scientist,1,1,Life Sciences,2956,13,0,1,1,1,0,0,0,2,4,1,3,3,4,3,No,Close (0-5km),Mid Career (29-40),Standard (11-14%),Low,None,Low
20,Female,Single,6,Yes,Travel_Frequently,Research & Development,Laboratory Technician,1,3,Life Sciences,2926,18,0,1,1,1,0,1,0,5,4,4,2,3,2,3,Yes,Moderate (6-15km),Early Career (18-28),High (15-18%),Very High,None,Low
34,Female,Single,6,No,Travel_Rarely,Research & Development,Research Scientist,2,4,Other,4809,14,0,16,1,16,13,2,10,3,1,3,3,3,3,3,No,Moderate (6-15km),Mid Career (29-40),Standard (11-14%),High,None,Medium
37,Male,Divorced,2,No,Non-Travel,Research & Development,Healthcare Representative,2,2,Life Sciences,5163,14,1,17,5,1,0,0,0,2,3,4,2,3,4,4,No,Close (0-5km),Mid Career (29-40),Standard (11-14%),Very High,Low,Medium
59,Female,Married,2,No,Non-Travel,Human Resources,Manager,5,4,Human Resources,18844,21,1,30,9,3,2,2,2,3,3,4,2,4,4,3,No,Close (0-5km),Experienced (41+),Top Tier (19-25%),Very High,Low,High
50,Female,Married,1,No,Travel_Frequently,Research & Development,Research Director,5,3,Life Sciences,18172,19,0,28,3,8,3,0,7,1,1,2,3,3,1,2,Yes,Close (0-5km),Experienced (41+),Top Tier (19-25%),Medium,None,High
25,Male,Single,5,Yes,Travel_Rarely,Sales,Sales Executive,2,3,Marketing,5744,11,0,6,1,6,4,0,3,1,3,3,2,3,4,3,Yes,Close (0-5km),Early Career (18-28),Standard (11-14%),High,None,Medium
25,Male,Married,7,No,Travel_Rarely,Research & Development,Research Scientist,1,1,Medical,2889,11,2,2,1,2,2,2,1,2,4,4,2,3,3,3,No,Moderate (6-15km),Early Career (18-28),Standard (11-14%),Very High,Medium,Low
22,Female,Single,15,No,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Medical,2871,15,0,1,1,0,0,0,0,5,2,4,3,3,3,3,No,Moderate (6-15km),Early Career (18-28),High (15-18%),Very High,None,Low
51,Female,Single,1,No,Travel_Frequently,Research & Development,Healthcare Representative,3,4,Medical,7484,20,0,23,3,13,12,12,8,1,1,1,2,4,3,2,No,Close (0-5km),Experienced (41+),Top Tier (19-25%),Low,None,High
34,Male,Single,7,Yes,Travel_Frequently,Research & Development,Laboratory Technician,2,3,Life Sciences,6074,24,0,9,1,9,7,0,6,3,1,3,1,4,4,3,Yes,Moderate (6-15km),Mid Career (29-40),Top Tier (19-25%),High,None,Medium
54,Female,Single,26,No,Non-Travel,Human Resources,Manager,4,3,Human Resources,17328,12,0,23,2,5,3,4,4,3,4,4,4,3,3,3,Yes,Far (16+ km),Experienced (41+),Standard (11-14%),Very High,None,High
24,Male,Married,18,No,Travel_Rarely,Research & Development,Laboratory Technician,1,1,Life Sciences,2774,12,1,6,0,5,3,1,2,2,2,3,3,3,3,3,No,Far (16+ km),Early Career (18-28),Standard (11-14%),High,Low,Low
34,Female,Divorced,6,No,Travel_Rarely,Research & Development,Research Scientist,2,4,Life Sciences,4505,15,1,12,6,1,0,0,0,3,3,2,2,3,3,3,No,Moderate (6-15km),Mid Career (29-40),High (15-18%),Medium,Low,Medium
37,Male,Single,3,No,Travel_Rarely,Sales,Sales Executive,3,3,Life Sciences,7428,12,0,12,2,5,3,1,3,3,3,4,3,3,1,3,No,Close (0-5km),Mid Career (29-40),Standard (11-14%),Very High,None,High
